numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,link,alteracao
CPV.0021,02/15/2021,Trata da designação dos membros da Brigada de Incêndio do IFSP – Câmpus Capivari.,C,,,Alterada pela portaria n° CPV.0069/2021,sem mandato expresso,Cleidson Santiago de Oliveira;Gilberto Bulgraen Junior	Ana Carla Dantas Midões	André Castilho Garcia	Antonio Carlos da Silva Bomfim	Carolina Marocco Corneta	Gustavo Baptistella Leite da Silva	Izabel Maria Barral Teixeira	João Batista de Medeiros	Larissa Aparecida Gatti	Leticia Pedroso Ramos	Lucas Bonetti	Luís Eduardo Pais dos Santos	Mayumi Silva Kawamoto	Micael Douglas Diniz	Renan Giollo Francisco	Tiago José Berg	Vitor Brandi Junior	Washington Ernando Pereira Benício.,https://drive.ifsp.edu.br/s/hXqFbNa0mg6wAEJ,Altera CPV.0018/2021;0176/2020;0174/2020;0123/2020/ 0051/2020;0194/2019;0176/2019;0077/2019;0069/2018;0169/2017;0163/2017.,,
CPV.0022,02/16/2021,"Trata da designação dos membros da Comissão Eleitoral Local para as eleições de Reitor e Diretor-Geral do câmpus Capivari, referente ao mandato 2021-2024.",M,,,extinta,até posse de reitor e DRG CPV,Ademir Geraldo Cavallari Costalonga;Gislaine Vieira Damiani	Roberto Bineli Muterle	Rafael Fernando Diorio	Fernanda Ortolan	Izabel Maria Barral Teixeira	Renan Giollo Francisco	Valéria da Silva Martins Poletti	Arlete Teresinha Esteves Brandi	Alexandre Camargo Maia	Zenilton José da Rocha	Héllen Cristine Florentino Cruz	Kaique Matheus dos Santos	Viviane Garcia de Barros Silva	Aline Correa	Jessica Wélide Tacioli	Aline Cristina Vitti Ramos,https://drive.ifsp.edu.br/s/ozMmJ5pcyRuQbpt,,,
CPV.0023,02/19/2021,Trata da designação de substituta à função de Coordenador de Contabilidade e Finanças do IFSP – Câmpus Capivari.,S,,,extinta,de 22 a 26 de fevereiro de 2021,Valéria da Silva Martins Poletti;Luciana Martins Gatti,https://drive.ifsp.edu.br/s/g89rkiHeStF4zTM,,,
CPV.0024,03/03/2021,"Trata da designação  dos  membros  da Comissão Eleitoral   Local para   as   eleições dos   membros administrativos, docentes,discentese  egressosdoConselho Superior do IFSP mandato 2021 –2023",C,,,Alterada pela portaria n° CPV.0065/2021,até homologação do processo eleitoral,Ademir Geraldo Cavallari Costalonga;Roberto Bineli Muterle;Gislaine Vieira Damiani,https://drive.ifsp.edu.br/s/yPBIV3raTNEK5hZ,,,
CPV.0025,03/15/2021,Trata da designação dos membros da Comissão  de  Comunicação  do  IFSP-Câmpus Capivari.,C,,,Revogada pela Portaria  CPV IFSP Nº .0142/2021,sem mandato expresso,Gustavo Baptistela da Silva;alexandre camargo maia;Renan Giollo Francisco;Rúbia Dias Adão.,https://drive.ifsp.edu.br/s/xI1Di6YW2SjKPbt,Altera CPV.0071/2019;CPV.041/2018;0003/2017;0091/2016,,
CPV.0026,03/18/2021,"Revoga a Portaria nº CPV.0048/2020, de 10 de março de 2020.",R,,,revogação,,,https://drive.ifsp.edu.br/s/A4Ci1vzJJJA0APL,Revoga CPV.0048/2020,,
CPV.0027,03/18/2021,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Alimentos do IFSP-Câmpus Capivari.,M,,,Alterada pela portaria n° CPV.0041/2021,mandato encerra no dia 11 de abril de 2022.,Fernanda Ortolan Adria de sousa Bentes Alexandre Santa Bárbara Azevedo;André Castilho Garcia;Carolina Marocco Corneta;Gislaine Vieira Damiani;Grazielle Cristine Elias;Gustavo baptistella Leite da Silva;Igor Vasconcelos Nogueira;Isabel Cristina das Chagas Oliveira;Luís Eduardo Pais dos Santos;Mateus Nordi Esperança;Rafael Resende Maldonado;Talita Barbosa Planticoski Bulgraen;Silvânia Regina Mendes Moreschi,https://drive.ifsp.edu.br/s/rG2KKqQottt18h2,Altera CPV.0019/2021;0187/2020;0121/2020;0152/2019;0114/2019;0066/2019,,
CPV.0028,03/18/2021,Trata da designação dos membros da Comissão de Extensão do IFSP - Câmpus Capivari.,C,,,Alterada pela portaria n° CPV.0067/2021,sem mandato expresso,Gustavo Baptistella Leite da Silva;Alexandre Santa Bárbara Azevedo;Fernanda Ortolan;Fleides Teodoro de Lima;Larissa Hanako Suzuki;Leticia Pedroso Ramos;Silvânia Regina Mendes Moreschi,https://drive.ifsp.edu.br/s/IlbzhkB7do18N6a,Altera CPV.0178/2020;0085/2019,,
CPV.0029,03/18/2021,Trata da designação dos membros da Comissão Especial de Compras e Acompanhamento das Ações de Alimentação Escolar do IFSP – Câmpus Capivari.,C,,,Alterada pela portaria n° CPV.0062/2021,sem mandato expresso,Leticia Pedroso Ramos;Antonio Carlos da Silva Bomfim;Beatriz Simonaio Birelli Falco;Carolina Marocco Corneta;César Eduardo Armelin;Eduardo Camargo Maia;Gilberto Bulgraen Junior;Rodrigo Scontre;,https://drive.ifsp.edu.br/s/JkgGuc8djXi9Kh9,Altera 0179/2020;0044/2020,,
CPV.0030,03/18/2021,Trata da designação de membros da Comissão de Biossegurança e Preparação para o Retorno às Atividades Presenciais do IFSP - Câmpus Capivari.,M,,,Alterada pela portaria n° CPV.0108/2021,mandato até 31 de julho de 2021,Maria Elisa de Castro Almeida;Ana Carla Dantas Midões;Everton Pereira Barbosa;Fernando César Russo Gomes;Fleides Teodoro de Lima;Francine Maria Ribeiro;Roberto Bineli Muterle;Beatriz Simonaio Birelli Falco;Eduardo Camargo Maia;Gianna Andréia Ferreira Gobbi Spadote;Isabel Cristina das Chagas Oliveira;Ivana Lopes de Oliveira;Izabel Maria Barral Teixeira;Michele Cristina dos Santos;Talita Barbosa Plantcoski Bulgraen;Beatriz Santos Silva;Héllen Cristine Florentino Cruz;João Pedro Adami de Carvalho;Luize Maria Pacheco de Carvalho;Vítor Rafael Gomes,https://drive.ifsp.edu.br/s/e0OIZtdH678SJwb,Altera CPV.0015/2021;0233/2020;0114/2020;0110/2020;0109/2020,,
